name,organization,homepage,logo,twitter,crunchbase_url,funding,member,relation,tag,license,headquarters,description,crunchbase_description,crunchbase_homepage,crunchbase_city,crunchbase_region,crunchbase_country,crunchbase_twitter,crunchbase_linkedin,crunchbase_ticker,crunchbase_kind,crunchbase_min_employees,crunchbase_max_employees,category,subcategory,oss,github_repo,github_stars,github_description,github_latest_commit_date,github_latest_commit_link,github_latest_release_date,github_latest_release_link,github_start_commit_date,github_start_commit_link,github_contributors_count,github_contributors_link,accepted,incubation,graduated,dev_stats_url,artwork_url,blog_url,mailing_list_url,slack_url,youtube_url,chat_channel,last_audit_date,last_audit_url
neuml/txtai,,https://github.com/neuml/txtai,logos/758d84c7f269d5ea78728f5a60292237eb00ffe022df8089152108359bd9fe84.svg,,,,,,,,,"💡 All-in-one open-source embeddings database for semantic search, LLM orchestration and language model workflows",,,,,,,,,,,,Application Engineering,Orchestrator,,,,,,,,,,,,,,,,,,,,,,,,
neuralmagic/deepsparse,,https://github.com/neuralmagic/deepsparse,logos/0b22fe6553ffd6c927de0a316a0b01cde01e4c3932170c13bfebb45153f0cdb8.svg,,,,,,,,,Sparsity-aware deep learning inference runtime for CPUs,,,,,,,,,,,,Operations,Model Serving,,,,,,,,,,,,,,,,,,,,,,,,
NVIDIA/cutlass,,https://github.com/NVIDIA/cutlass,logos/0b22fe6553ffd6c927de0a316a0b01cde01e4c3932170c13bfebb45153f0cdb8.svg,,,,,,,,,CUDA Templates for Linear Algebra Subroutines,,,,,,,,,,,,Application Engineering,Frameworks,,,,,,,,,,,,,,,,,,,,,,,,
NVIDIA/Megatron-LM,,https://github.com/NVIDIA/Megatron-LM,logos/0b22fe6553ffd6c927de0a316a0b01cde01e4c3932170c13bfebb45153f0cdb8.svg,,,,,,,,,Ongoing research training transformer models at scale,,,,,,,,,,,,Models,Foundation model,,,,,,,,,,,,,,,,,,,,,,,,
oobabooga/text-generation-webui,,https://github.com/oobabooga/text-generation-webui,logos/0b22fe6553ffd6c927de0a316a0b01cde01e4c3932170c13bfebb45153f0cdb8.svg,,,,,,,,,A Gradio web UI for Large Language Models.,,,,,,,,,,,,Application Engineering,UserInterface,,,,,,,,,,,,,,,,,,,,,,,,
openai/grade-school-math,,https://github.com/openai/grade-school-math,logos/0b22fe6553ffd6c927de0a316a0b01cde01e4c3932170c13bfebb45153f0cdb8.svg,,,,,,,,,,,,,,,,,,,,,Application Engineering,Evals,,,,,,,,,,,,,,,,,,,,,,,,
openai/prm800k,,https://github.com/openai/prm800k,logos/0b22fe6553ffd6c927de0a316a0b01cde01e4c3932170c13bfebb45153f0cdb8.svg,,,,,,,,,"800,000 step-level correctness labels on LLM solutions to MATH problems",,,,,,,,,,,,Application Engineering,Evals,,,,,,,,,,,,,,,,,,,,,,,,
princeton-nlp/SWE-agent,,https://github.com/princeton-nlp/SWE-agent,logos/0b22fe6553ffd6c927de0a316a0b01cde01e4c3932170c13bfebb45153f0cdb8.svg,,,,,,,,,"[NeurIPS 2024] SWE-agent takes a GitHub issue and tries to automatically fix it, using GPT-4, or your LM of choice. It can also be employed for offensive cybersecurity or competitive coding challenges.",,,,,,,,,,,,Application Engineering,Agentic Framework,,,,,,,,,,,,,,,,,,,,,,,,
pytorch-labs/gpt-fast,,https://github.com/pytorch-labs/gpt-fast,logos/0b22fe6553ffd6c927de0a316a0b01cde01e4c3932170c13bfebb45153f0cdb8.svg,,,,,,,,,Simple and efficient pytorch-native transformer text generation in <1000 LOC of python.,,,,,,,,,,,,Operations,Model Serving,,,,,,,,,,,,,,,,,,,,,,,,
QwenLM/Qwen,,https://github.com/QwenLM/Qwen,logos/0b22fe6553ffd6c927de0a316a0b01cde01e4c3932170c13bfebb45153f0cdb8.svg,,,,,,,,,The official repo of Qwen (通义千问) chat & pretrained large language model proposed by Alibaba Cloud.,,,,,,,,,,,,Models,Foundation model,,,,,,,,,,,,,,,,,,,,,,,,
ray-project/ray,,https://github.com/ray-project/ray,logos/0b22fe6553ffd6c927de0a316a0b01cde01e4c3932170c13bfebb45153f0cdb8.svg,,,,,,,,,Ray is an AI compute engine. Ray consists of a core distributed runtime and a set of AI Libraries for accelerating ML workloads.,,,,,,,,,,,,Application Engineering,Frameworks,,,,,,,,,,,,,,,,,,,,,,,,
ricklamers/gpt-code-ui,,https://github.com/ricklamers/gpt-code-ui,logos/0b22fe6553ffd6c927de0a316a0b01cde01e4c3932170c13bfebb45153f0cdb8.svg,,,,,,,,,An open source implementation of OpenAI's ChatGPT Code interpreter,,,,,,,,,,,,Application Engineering,Agentic Framework,,,,,,,,,,,,,,,,,,,,,,,,
rlancemartin/auto-evaluator,,https://github.com/rlancemartin/auto-evaluator,logos/0b22fe6553ffd6c927de0a316a0b01cde01e4c3932170c13bfebb45153f0cdb8.svg,,,,,,,,,Evaluation tool for LLM QA chains,,,,,,,,,,,,Application Engineering,Evals,,,,,,,,,,,,,,,,,,,,,,,,
run-llama/llama_index,,https://github.com/run-llama/llama_index,logos/0b22fe6553ffd6c927de0a316a0b01cde01e4c3932170c13bfebb45153f0cdb8.svg,,,,,,,,,LlamaIndex is a data framework for your LLM applications,,,,,,,,,,,,Application Engineering,Orchestrator,,,,,,,,,,,,,,,,,,,,,,,,
rustformers/llm,,https://github.com/rustformers/llm,logos/0b22fe6553ffd6c927de0a316a0b01cde01e4c3932170c13bfebb45153f0cdb8.svg,,,,,,,,,"[Unmaintained, see README] An ecosystem of Rust libraries for working with large language models",,,,,,,,,,,,Application Engineering,Frameworks,,,,,,,,,,,,,,,,,,,,,,,,
salesforce/CodeTF,,https://github.com/salesforce/CodeTF,logos/0b22fe6553ffd6c927de0a316a0b01cde01e4c3932170c13bfebb45153f0cdb8.svg,,,,,,,,,CodeTF: One-stop Transformer Library for State-of-the-art Code LLM,,,,,,,,,,,,Application Engineering,Frameworks,,,,,,,,,,,,,,,,,,,,,,,,
Shaunwei/RealChar,,https://github.com/Shaunwei/RealChar,logos/0b22fe6553ffd6c927de0a316a0b01cde01e4c3932170c13bfebb45153f0cdb8.svg,,,,,,,,,"🎙️🤖Create, Customize and Talk to your AI Character/Companion in Realtime (All in One Codebase!). Have a natural seamless conversation with AI everywhere (mobile, web and terminal) using LLM OpenAI GPT3.5/4, Anthropic Claude2, Chroma Vector DB, Whisper Speech2Text, ElevenLabs Text2Speech🎙️🤖",,,,,,,,,,,,Application Engineering,UserInterface,,,,,,,,,,,,,,,,,,,,,,,,
shibing624/pycorrector,,https://github.com/shibing624/pycorrector,logos/0b22fe6553ffd6c927de0a316a0b01cde01e4c3932170c13bfebb45153f0cdb8.svg,,,,,,,,,pycorrector is a toolkit for text error correction. 文本纠错，实现了Kenlm，T5，MacBERT，ChatGLM3，Qwen2.5等模型应用在纠错场景，开箱即用。,,,,,,,,,,,,Application Engineering,UserInterface,,,,,,,,,,,,,,,,,,,,,,,,
Significant-Gravitas/AutoGPT,,https://github.com/Significant-Gravitas/AutoGPT,logos/0b22fe6553ffd6c927de0a316a0b01cde01e4c3932170c13bfebb45153f0cdb8.svg,,,,,,,,,"AutoGPT is the vision of accessible AI for everyone, to use and to build on. Our mission is to provide the tools, so that you can focus on what matters.",,,,,,,,,,,,Application Engineering,Agentic Framework,,,,,,,,,,,,,,,,,,,,,,,,
smallcloudai/refact,,https://github.com/smallcloudai/refact,logos/0b22fe6553ffd6c927de0a316a0b01cde01e4c3932170c13bfebb45153f0cdb8.svg,,,,,,,,,WebUI for Fine-Tuning and Self-hosting of Open-Source Large Language Models for Coding ,,,,,,,,,,,,Application Engineering,UserInterface,,,,,,,,,,,,,,,,,,,,,,,,
SqueezeAILab/LLMCompiler,,https://github.com/SqueezeAILab/LLMCompiler,logos/0b22fe6553ffd6c927de0a316a0b01cde01e4c3932170c13bfebb45153f0cdb8.svg,,,,,,,,,[ICML 2024] LLMCompiler: An LLM Compiler for Parallel Function Calling,,,,,,,,,,,,Application Engineering,Frameworks,,,,,,,,,,,,,,,,,,,,,,,,
stanfordnlp/dspy,,https://github.com/stanfordnlp/dspy,logos/0b22fe6553ffd6c927de0a316a0b01cde01e4c3932170c13bfebb45153f0cdb8.svg,,,,,,,,,DSPy: The framework for programming—not prompting—foundation models,,,,,,,,,,,,Application Engineering,Prompt Engineering,,,,,,,,,,,,,,,,,,,,,,,,
TencentARC/GFPGAN,,https://github.com/TencentARC/GFPGAN,logos/0b22fe6553ffd6c927de0a316a0b01cde01e4c3932170c13bfebb45153f0cdb8.svg,,,,,,,,,GFPGAN aims at developing Practical Algorithms for Real-world Face Restoration.,,,,,,,,,,,,Application Engineering,Frameworks,,,,,,,,,,,,,,,,,,,,,,,,
THUDM/AgentBench,,https://github.com/THUDM/AgentBench,logos/0b22fe6553ffd6c927de0a316a0b01cde01e4c3932170c13bfebb45153f0cdb8.svg,,,,,,,,,A Comprehensive Benchmark to Evaluate LLMs as Agents (ICLR'24),,,,,,,,,,,,Application Engineering,Evals,,,,,,,,,,,,,,,,,,,,,,,,
THUDM/SwissArmyTransformer,,https://github.com/THUDM/SwissArmyTransformer,logos/0b22fe6553ffd6c927de0a316a0b01cde01e4c3932170c13bfebb45153f0cdb8.svg,,,,,,,,,SwissArmyTransformer is a flexible and powerful library to develop your own Transformer variants.,,,,,,,,,,,,Application Engineering,Frameworks,,,,,,,,,,,,,,,,,,,,,,,,
TimDettmers/bitsandbytes,,https://github.com/TimDettmers/bitsandbytes,logos/0b22fe6553ffd6c927de0a316a0b01cde01e4c3932170c13bfebb45153f0cdb8.svg,,,,,,,,,Accessible large language models via k-bit quantization for PyTorch.,,,,,,,,,,,,Operations,Model Serving,,,,,,,,,,,,,,,,,,,,,,,,
varunshenoy/GraphGPT,,https://github.com/varunshenoy/GraphGPT,logos/0b22fe6553ffd6c927de0a316a0b01cde01e4c3932170c13bfebb45153f0cdb8.svg,,,,,,,,,Extrapolating knowledge graphs from unstructured text using GPT-3 🕵️‍♂️,,,,,,,,,,,,Application Engineering,Agentic Framework,,,,,,,,,,,,,,,,,,,,,,,,
Yifan-Song793/RestGPT,,https://github.com/Yifan-Song793/RestGPT,logos/0b22fe6553ffd6c927de0a316a0b01cde01e4c3932170c13bfebb45153f0cdb8.svg,,,,,,,,,An LLM-based autonomous agent controlling real-world applications via RESTful APIs,,,,,,,,,,,,Application Engineering,Agentic Framework,,,,,,,,,,,,,,,,,,,,,,,,
yihong0618/xiaogpt,,https://github.com/yihong0618/xiaogpt,logos/0b22fe6553ffd6c927de0a316a0b01cde01e4c3932170c13bfebb45153f0cdb8.svg,,,,,,,,,Play ChatGPT and other LLM with Xiaomi AI Speaker,,,,,,,,,,,,Application Engineering,UserInterface,,,,,,,,,,,,,,,,,,,,,,,,
YiVal/YiVal,,https://github.com/YiVal/YiVal,logos/0b22fe6553ffd6c927de0a316a0b01cde01e4c3932170c13bfebb45153f0cdb8.svg,,,,,,,,,Your Automatic Prompt Engineering Assistant for GenAI Applications,,,,,,,,,,,,Application Engineering,Prompt Engineering,,,,,,,,,,,,,,,,,,,,,,,,
